titulo,link
Página:A Patria Brazileira.djvu/17,https://pt.m.wikisource.org/wiki/P%C3%A1gina:A_Patria_Brazileira.djvu/17
A Patria Brazileira/I,https://pt.m.wikisource.org/wiki/A_Patria_Brazileira/I
A Patria Brazileira/Duas Palavras,https://pt.m.wikisource.org/wiki/A_Patria_Brazileira/Duas_Palavras
m:Privacy policy/pt-br,https://meta.wikimedia.org/wiki/Privacy_policy/pt-br
Categoria:Caramuru,https://pt.m.wikisource.org/wiki/Categoria:Caramuru
Categoria:Cartas Chilenas,https://pt.m.wikisource.org/wiki/Categoria:Cartas_Chilenas
Categoria:Marília de Dirceu,https://pt.m.wikisource.org/wiki/Categoria:Mar%C3%ADlia_de_Dirceu
Categoria:O Uraguai,https://pt.m.wikisource.org/wiki/Categoria:O_Uraguai
Categoria:O Uraguay,https://pt.m.wikisource.org/wiki/Categoria:O_Uraguay
Categoria:Vila Rica (Cláudio Manuel da Costa),https://pt.m.wikisource.org/wiki/Categoria:Vila_Rica_(Cl%C3%A1udio_Manuel_da_Costa)
"A cada instante, Amor, a cada instante","https://pt.m.wikisource.org/wiki/A_cada_instante,_Amor,_a_cada_instante"
"Adeus, ídolo belo, adeus, querido","https://pt.m.wikisource.org/wiki/Adeus,_%C3%ADdolo_belo,_adeus,_querido"
Ai de mim! como estou tão descuidado!,https://pt.m.wikisource.org/wiki/Ai_de_mim!_como_estou_t%C3%A3o_descuidado!
Ai Nise amada! se este meu tormento,https://pt.m.wikisource.org/wiki/Ai_Nise_amada!_se_este_meu_tormento
"Altas serras, que ao Céu estais servindo","https://pt.m.wikisource.org/wiki/Altas_serras,_que_ao_C%C3%A9u_estais_servindo"
Apenas rebentava no oriente,https://pt.m.wikisource.org/wiki/Apenas_rebentava_no_oriente
Apressa se a tocar o caminhante,https://pt.m.wikisource.org/wiki/Apressa_se_a_tocar_o_caminhante
"Aquela cinta azul, que o céu estende","https://pt.m.wikisource.org/wiki/Aquela_cinta_azul,_que_o_c%C3%A9u_estende"
"Aquele, que enfermou de desgraçado","https://pt.m.wikisource.org/wiki/Aquele,_que_enfermou_de_desgra%C3%A7ado"
"Aqui sobre esta pedra, áspera, e dura","https://pt.m.wikisource.org/wiki/Aqui_sobre_esta_pedra,_%C3%A1spera,_e_dura"
"Bela imagem, emprego idolatrado","https://pt.m.wikisource.org/wiki/Bela_imagem,_emprego_idolatrado"
"Brandas ribeiras, quanto estou contente","https://pt.m.wikisource.org/wiki/Brandas_ribeiras,_quanto_estou_contente"
"Breves horas, Amor, há, que eu gozava","https://pt.m.wikisource.org/wiki/Breves_horas,_Amor,_h%C3%A1,_que_eu_gozava"
"Breves horas, que em rápida porfia","https://pt.m.wikisource.org/wiki/Breves_horas,_que_em_r%C3%A1pida_porfia"
"Campos, que ao respirar meu triste peito","https://pt.m.wikisource.org/wiki/Campos,_que_ao_respirar_meu_triste_peito"
Caramuru,https://pt.m.wikisource.org/wiki/Caramuru
Cartas Chilenas,https://pt.m.wikisource.org/wiki/Cartas_Chilenas
"Clara fonte, teu passo lisonjeiro","https://pt.m.wikisource.org/wiki/Clara_fonte,_teu_passo_lisonjeiro"
Continuamente estou imaginando,https://pt.m.wikisource.org/wiki/Continuamente_estou_imaginando
"Corino, vai buscar aquela ovelha","https://pt.m.wikisource.org/wiki/Corino,_vai_buscar_aquela_ovelha"
De um ramo desta faia pendurado,https://pt.m.wikisource.org/wiki/De_um_ramo_desta_faia_pendurado
"Deixa, que por um pouco aquele monte","https://pt.m.wikisource.org/wiki/Deixa,_que_por_um_pouco_aquele_monte"
"Deixemo-nos, Algano, de porfia","https://pt.m.wikisource.org/wiki/Deixemo-nos,_Algano,_de_porfia"
Destes penhascos fez a natureza,https://pt.m.wikisource.org/wiki/Destes_penhascos_fez_a_natureza
Em profundo silêncio já descansa,https://pt.m.wikisource.org/wiki/Em_profundo_sil%C3%AAncio_j%C3%A1_descansa
"Enfim te hei de deixar, doce corrente","https://pt.m.wikisource.org/wiki/Enfim_te_hei_de_deixar,_doce_corrente"
"Entre este álamo, o Lise, e essa corrente","https://pt.m.wikisource.org/wiki/Entre_este_%C3%A1lamo,_o_Lise,_e_essa_corrente"
"Este é o rio, a montanha é esta","https://pt.m.wikisource.org/wiki/Este_%C3%A9_o_rio,_a_montanha_%C3%A9_esta"
"Estes braços, Amor, com quanta glória","https://pt.m.wikisource.org/wiki/Estes_bra%C3%A7os,_Amor,_com_quanta_gl%C3%B3ria"
Estes os olhos são da minha amada,https://pt.m.wikisource.org/wiki/Estes_os_olhos_s%C3%A3o_da_minha_amada
"Eu cantei, não o nego, eu algum dia","https://pt.m.wikisource.org/wiki/Eu_cantei,_n%C3%A3o_o_nego,_eu_algum_dia"
"Eu ponho esta sanfona, tu, Palemo","https://pt.m.wikisource.org/wiki/Eu_ponho_esta_sanfona,_tu,_Palemo"
Fatigado da calma se acolhia,https://pt.m.wikisource.org/wiki/Fatigado_da_calma_se_acolhia
Faz a imaginação de um bem amado,https://pt.m.wikisource.org/wiki/Faz_a_imagina%C3%A7%C3%A3o_de_um_bem_amado
Formosa é Daliana; o seu cabelo,https://pt.m.wikisource.org/wiki/Formosa_%C3%A9_Daliana;_o_seu_cabelo
"Formoso, e manso gado, que pascendo","https://pt.m.wikisource.org/wiki/Formoso,_e_manso_gado,_que_pascendo"
"Há quem confie, Amor, na segurança","https://pt.m.wikisource.org/wiki/H%C3%A1_quem_confie,_Amor,_na_seguran%C3%A7a"
"Ingrata foste, Elisa; eu te condeno","https://pt.m.wikisource.org/wiki/Ingrata_foste,_Elisa;_eu_te_condeno"
"Injusto Amor, se de teu jugo isento","https://pt.m.wikisource.org/wiki/Injusto_Amor,_se_de_teu_jugo_isento"
Junto desta corrente contemplando,https://pt.m.wikisource.org/wiki/Junto_desta_corrente_contemplando
Já me enfado de ouvir este alarido,https://pt.m.wikisource.org/wiki/J%C3%A1_me_enfado_de_ouvir_este_alarido
"Já rompe, Nise, a matutina aurora","https://pt.m.wikisource.org/wiki/J%C3%A1_rompe,_Nise,_a_matutina_aurora"
"Leia a posteridade, ó pátrio Rio","https://pt.m.wikisource.org/wiki/Leia_a_posteridade,_%C3%B3_p%C3%A1trio_Rio"
"Lembrado estou, ó penhas, que algum dia","https://pt.m.wikisource.org/wiki/Lembrado_estou,_%C3%B3_penhas,_que_algum_dia"
Marília de Dirceu,https://pt.m.wikisource.org/wiki/Mar%C3%ADlia_de_Dirceu
"Memórias do presente, e do passado","https://pt.m.wikisource.org/wiki/Mem%C3%B3rias_do_presente,_e_do_passado"
Morfeu doces cadeias estendia,https://pt.m.wikisource.org/wiki/Morfeu_doces_cadeias_estendia
"Musas, canoras musas, este canto","https://pt.m.wikisource.org/wiki/Musas,_canoras_musas,_este_canto"
"Neste álamo sombrio, aonde a escura","https://pt.m.wikisource.org/wiki/Neste_%C3%A1lamo_sombrio,_aonde_a_escura"
"Ninfas gentis, eu sou, o que abrasado","https://pt.m.wikisource.org/wiki/Ninfas_gentis,_eu_sou,_o_que_abrasado"
Nise? Nise? onde estás? Aonde espera,https://pt.m.wikisource.org/wiki/Nise%3F_Nise%3F_onde_est%C3%A1s%3F_Aonde_espera
Não de tigres as testas descarnadas,https://pt.m.wikisource.org/wiki/N%C3%A3o_de_tigres_as_testas_descarnadas
"Não há no mundo fé, não há lealdade","https://pt.m.wikisource.org/wiki/N%C3%A3o_h%C3%A1_no_mundo_f%C3%A9,_n%C3%A3o_h%C3%A1_lealdade"
"Não se passa, meu bem, na noite, e dia","https://pt.m.wikisource.org/wiki/N%C3%A3o_se_passa,_meu_bem,_na_noite,_e_dia"
"Não te assuste o prodígio: eu, caminhante","https://pt.m.wikisource.org/wiki/N%C3%A3o_te_assuste_o_prod%C3%ADgio:_eu,_caminhante"
"Não te cases com Gil, bela serrana","https://pt.m.wikisource.org/wiki/N%C3%A3o_te_cases_com_Gil,_bela_serrana"
"Não vês, Lise, brincar esse menino","https://pt.m.wikisource.org/wiki/N%C3%A3o_v%C3%AAs,_Lise,_brincar_esse_menino"
"Não vês, Nise, este vento desabrido","https://pt.m.wikisource.org/wiki/N%C3%A3o_v%C3%AAs,_Nise,_este_vento_desabrido"
O Uraguai,https://pt.m.wikisource.org/wiki/O_Uraguai
O Uraguay,https://pt.m.wikisource.org/wiki/O_Uraguay
Obras Poéticas de Glauceste Satúrnio,https://pt.m.wikisource.org/wiki/Obras_Po%C3%A9ticas_de_Glauceste_Sat%C3%BArnio
Onde estou? Este sítio desconheço,https://pt.m.wikisource.org/wiki/Onde_estou%3F_Este_s%C3%ADtio_desconhe%C3%A7o
"Os olhos tendo posto, e o pensamento","https://pt.m.wikisource.org/wiki/Os_olhos_tendo_posto,_e_o_pensamento"
Ou já sobre o cajado te reclines,https://pt.m.wikisource.org/wiki/Ou_j%C3%A1_sobre_o_cajado_te_reclines
Para cantar de amor tenros cuidados,https://pt.m.wikisource.org/wiki/Para_cantar_de_amor_tenros_cuidados
"Parece, ou eu me engano, que esta fonte","https://pt.m.wikisource.org/wiki/Parece,_ou_eu_me_engano,_que_esta_fonte"
"Pastores, que levais ao monte o gado","https://pt.m.wikisource.org/wiki/Pastores,_que_levais_ao_monte_o_gado"
"Piedosos troncos, que a meu terno pranto","https://pt.m.wikisource.org/wiki/Piedosos_troncos,_que_a_meu_terno_pranto"
Polir na guerra o bárbaro gentio,https://pt.m.wikisource.org/wiki/Polir_na_guerra_o_b%C3%A1rbaro_gentio
"Pouco importa, formosa Daliana","https://pt.m.wikisource.org/wiki/Pouco_importa,_formosa_Daliana"
"Quando cheios de gosto, e de alegria","https://pt.m.wikisource.org/wiki/Quando_cheios_de_gosto,_e_de_alegria"
"Quando, formosa Nise, dividido","https://pt.m.wikisource.org/wiki/Quando,_formosa_Nise,_dividido"
"Que feliz fora o mundo, se perdida","https://pt.m.wikisource.org/wiki/Que_feliz_fora_o_mundo,_se_perdida"
"Que inflexível se mostra, que constante","https://pt.m.wikisource.org/wiki/Que_inflex%C3%ADvel_se_mostra,_que_constante"
"Que molesta lembrança, que cansada","https://pt.m.wikisource.org/wiki/Que_molesta_lembran%C3%A7a,_que_cansada"
"Que tarde nasce o Sol, que vagaroso!","https://pt.m.wikisource.org/wiki/Que_tarde_nasce_o_Sol,_que_vagaroso!"
Quem chora ausente aquela formosura,https://pt.m.wikisource.org/wiki/Quem_chora_ausente_aquela_formosura
Quem deixa o trato pastoril amado,https://pt.m.wikisource.org/wiki/Quem_deixa_o_trato_pastoril_amado
"Quem se fia de Amor, quem se assegura","https://pt.m.wikisource.org/wiki/Quem_se_fia_de_Amor,_quem_se_assegura"
Quem és tu? (ai de mim!) eu reclinado,https://pt.m.wikisource.org/wiki/Quem_%C3%A9s_tu%3F_(ai_de_mim!)_eu_reclinado
"Se os poucos dias, que vivi contente","https://pt.m.wikisource.org/wiki/Se_os_poucos_dias,_que_vivi_contente"
"Se sou pobre pastor, se não governo","https://pt.m.wikisource.org/wiki/Se_sou_pobre_pastor,_se_n%C3%A3o_governo"
Se à memória trouxeres algum dia,https://pt.m.wikisource.org/wiki/Se_%C3%A0_mem%C3%B3ria_trouxeres_algum_dia
"Sombrio bosque, sítio destinado","https://pt.m.wikisource.org/wiki/Sombrio_bosque,_s%C3%ADtio_destinado"
"Sonha em torrentes d'água, o que abrasado","https://pt.m.wikisource.org/wiki/Sonha_em_torrentes_d%27%C3%A1gua,_o_que_abrasado"
Sou pastor; não te nego; os meus montados,https://pt.m.wikisource.org/wiki/Sou_pastor;_n%C3%A3o_te_nego;_os_meus_montados
Toda a mortal fadiga adormecia,https://pt.m.wikisource.org/wiki/Toda_a_mortal_fadiga_adormecia
"Torno a ver-vos, ó montes; o destino","https://pt.m.wikisource.org/wiki/Torno_a_ver-vos,_%C3%B3_montes;_o_destino"
Traidoras horas do enganoso gosto,https://pt.m.wikisource.org/wiki/Traidoras_horas_do_enganoso_gosto
"Tu sonora corrente, fonte pura","https://pt.m.wikisource.org/wiki/Tu_sonora_corrente,_fonte_pura"
"Tu, ninfa, quando eu menos penetrado","https://pt.m.wikisource.org/wiki/Tu,_ninfa,_quando_eu_menos_penetrado"
"Valha-te Deus, cansada fantasia!","https://pt.m.wikisource.org/wiki/Valha-te_Deus,_cansada_fantasia!"
Vila Rica (Cláudio Manuel da Costa),https://pt.m.wikisource.org/wiki/Vila_Rica_(Cl%C3%A1udio_Manuel_da_Costa)
m:Privacy policy/pt-br,https://meta.wikimedia.org/wiki/Privacy_policy/pt-br
Através do Brasil/I,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/I
Através do Brasil/II,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/II
Através do Brasil/Advertência e explicação,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/Advert%C3%AAncia_e_explica%C3%A7%C3%A3o
Através do Brasil/Glossário A-H,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/Gloss%C3%A1rio_A-H
Através do Brasil/Glossário I-V,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/Gloss%C3%A1rio_I-V
Através do Brasil/III,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/III
Através do Brasil/IV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/IV
Através do Brasil/IX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/IX
Através do Brasil/L,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/L
Através do Brasil/LI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LI
Através do Brasil/LII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LII
Através do Brasil/LIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LIII
Através do Brasil/LIV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LIV
Através do Brasil/LV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LV
Através do Brasil/LVI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LVI
Através do Brasil/LVII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LVII
Através do Brasil/LVIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LVIII
Através do Brasil/LVIX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LVIX
Através do Brasil/LX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LX
Através do Brasil/LXI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXI
Através do Brasil/LXII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXII
Através do Brasil/LXIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXIII
Através do Brasil/LXIV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXIV
Através do Brasil/LXIX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXIX
Através do Brasil/LXV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXV
Através do Brasil/LXVI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXVI
Através do Brasil/LXVII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXVII
Através do Brasil/LXVIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXVIII
Através do Brasil/LXX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXX
Através do Brasil/LXXI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXI
Através do Brasil/LXXII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXII
Através do Brasil/LXXIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXIII
Através do Brasil/LXXIV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXIV
Através do Brasil/LXXIX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXIX
Através do Brasil/LXXV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXV
Através do Brasil/LXXVI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXVI
Através do Brasil/LXXVII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXVII
Através do Brasil/LXXVIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXVIII
Através do Brasil/LXXX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXX
Através do Brasil/LXXXI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXXI
Através do Brasil/LXXXII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/LXXXII
Através do Brasil/V,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/V
Através do Brasil/VI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/VI
Através do Brasil/VII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/VII
Através do Brasil/VIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/VIII
Através do Brasil/X,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/X
Através do Brasil/XI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XI
Através do Brasil/XII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XII
Através do Brasil/XIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XIII
Através do Brasil/XIV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XIV
Através do Brasil/XIX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XIX
Através do Brasil/XL,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XL
Através do Brasil/XLI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLI
Através do Brasil/XLII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLII
Através do Brasil/XLIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLIII
Através do Brasil/XLIV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLIV
Através do Brasil/XLIX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLIX
Através do Brasil/XLV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLV
Através do Brasil/XLVI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLVI
Através do Brasil/XLVII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLVII
Através do Brasil/XLVIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XLVIII
Através do Brasil/XV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XV
Através do Brasil/XVI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XVI
Através do Brasil/XVII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XVII
Através do Brasil/XVIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XVIII
Através do Brasil/XX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XX
Através do Brasil/XXI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXI
Através do Brasil/XXII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXII
Através do Brasil/XXIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXIII
Através do Brasil/XXIV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXIV
Através do Brasil/XXIX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXIX
Através do Brasil/XXV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXV
Através do Brasil/XXVI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXVI
Através do Brasil/XXVII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXVII
Através do Brasil/XXVIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXVIII
Através do Brasil/XXX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXX
Através do Brasil/XXXI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXI
Através do Brasil/XXXII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXII
Através do Brasil/XXXIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXIII
Através do Brasil/XXXIV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXIV
Através do Brasil/XXXIX,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXIX
Através do Brasil/XXXV,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXV
Através do Brasil/XXXVI,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXVI
Através do Brasil/XXXVII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXVII
Através do Brasil/XXXVIII,https://pt.m.wikisource.org/wiki/Atrav%C3%A9s_do_Brasil/XXXVIII
m:Privacy policy/pt-br,https://meta.wikimedia.org/wiki/Privacy_policy/pt-br
Categoria:Música do Parnaso,https://pt.m.wikisource.org/wiki/Categoria:M%C3%BAsica_do_Parnaso
Categoria:Reflexões sobre a Vaidade dos Homens,https://pt.m.wikisource.org/wiki/Categoria:Reflex%C3%B5es_sobre_a_Vaidade_dos_Homens
Categoria:Sermões do Padre Antônio Vieira,https://pt.m.wikisource.org/wiki/Categoria:Serm%C3%B5es_do_Padre_Ant%C3%B4nio_Vieira
A cada canto um grande conselheiro,https://pt.m.wikisource.org/wiki/A_cada_canto_um_grande_conselheiro
"A Deus vão pensamento, a Deus cuidado","https://pt.m.wikisource.org/wiki/A_Deus_v%C3%A3o_pensamento,_a_Deus_cuidado"
A Musa Praguejadora,https://pt.m.wikisource.org/wiki/A_Musa_Praguejadora
A nossa Sé da Bahia,https://pt.m.wikisource.org/wiki/A_nossa_S%C3%A9_da_Bahia
A Nossa Sé da Bahia,https://pt.m.wikisource.org/wiki/A_Nossa_S%C3%A9_da_Bahia
A quem não causa desmaio,https://pt.m.wikisource.org/wiki/A_quem_n%C3%A3o_causa_desmaio
A quem não dá aos fiéis,https://pt.m.wikisource.org/wiki/A_quem_n%C3%A3o_d%C3%A1_aos_fi%C3%A9is
A Rainha celestial,https://pt.m.wikisource.org/wiki/A_Rainha_celestial
"A vós, Padre Baltasar","https://pt.m.wikisource.org/wiki/A_v%C3%B3s,_Padre_Baltasar"
Agora que entre candores,https://pt.m.wikisource.org/wiki/Agora_que_entre_candores
Agora que sobre a cama,https://pt.m.wikisource.org/wiki/Agora_que_sobre_a_cama
Agora saio eu a campo,https://pt.m.wikisource.org/wiki/Agora_saio_eu_a_campo
Ai de mim! Se neste intento,https://pt.m.wikisource.org/wiki/Ai_de_mim!_Se_neste_intento
Ai meu bem! ai meu Esposo!,https://pt.m.wikisource.org/wiki/Ai_meu_bem!_ai_meu_Esposo!
Ai que bem se deixa ver,https://pt.m.wikisource.org/wiki/Ai_que_bem_se_deixa_ver
Ai quem soubera querer-vos!,https://pt.m.wikisource.org/wiki/Ai_quem_soubera_querer-vos!
Ai quem tal bem merecera!,https://pt.m.wikisource.org/wiki/Ai_quem_tal_bem_merecera!
"Ai Senhor, quem alcançara","https://pt.m.wikisource.org/wiki/Ai_Senhor,_quem_alcan%C3%A7ara"
"Ai, Custódia! sonhei, não sei se o diga","https://pt.m.wikisource.org/wiki/Ai,_Cust%C3%B3dia!_sonhei,_n%C3%A3o_sei_se_o_diga"
"Ai, Lise, quanto me pesa","https://pt.m.wikisource.org/wiki/Ai,_Lise,_quanto_me_pesa"
"Alma ditosa, que na empírea corte","https://pt.m.wikisource.org/wiki/Alma_ditosa,_que_na_emp%C3%ADrea_corte"
"Alto Príncipe, a quem a Parca bruta","https://pt.m.wikisource.org/wiki/Alto_Pr%C3%ADncipe,_a_quem_a_Parca_bruta"
"Alto sermão, egrégio, e soberano","https://pt.m.wikisource.org/wiki/Alto_serm%C3%A3o,_egr%C3%A9gio,_e_soberano"
Alto: divino impossível,https://pt.m.wikisource.org/wiki/Alto:_divino_imposs%C3%ADvel
Amanheceu finalmente,https://pt.m.wikisource.org/wiki/Amanheceu_finalmente
Amanheceu quarta-feira,https://pt.m.wikisource.org/wiki/Amanheceu_quarta-feira
